Date,Symbol,Open,High,Low,Close,Volume
01-01-2020,TCS,2168,2183.9,2154,2167.6,1354908
02-01-2020,TCS,2179.95,2179.95,2149.2,2157.65,2380752
03-01-2020,TCS,2164,2223,2164,2200.65,4655761
06-01-2020,TCS,2205,2225.95,2187.9,2200.45,3023209
07-01-2020,TCS,2200.5,2214.65,2183.8,2205.85,2429317
08-01-2020,TCS,2205,2260,2202.05,2255.25,5197454
09-01-2020,TCS,2248.75,2251.95,2210,2214.35,3734173
10-01-2020,TCS,2228,2234,2208,2213.55,1915807
13-01-2020,TCS,2217.85,2218.95,2184.7,2190.35,2843893
14-01-2020,TCS,2195,2229.8,2195,2206.9,2948452
15-01-2020,TCS,2213,2231,2194.2,2226.9,2620681
16-01-2020,TCS,2226.95,2249,2215,2238.8,3117214
17-01-2020,TCS,2240.75,2253.55,2213,2219.1,3281059
20-01-2020,TCS,2194.9,2242.2,2156.2,2170.35,5817599
21-01-2020,TCS,2169.95,2186.55,2158.05,2171.05,1902980
22-01-2020,TCS,2181,2210,2173.7,2206.9,1773686
23-01-2020,TCS,2209.8,2217.75,2183.7,2190.95,2069866
24-01-2020,TCS,2190.95,2190.95,2170,2183.4,1319430
27-01-2020,TCS,2189.7,2193.45,2165,2169.25,1549101
28-01-2020,TCS,2174,2187.8,2152,2183.75,1743024
29-01-2020,TCS,2185,2186.95,2150,2154.6,2306761
30-01-2020,TCS,2160,2165,2125,2137.85,2098567
31-01-2020,TCS,2139.4,2144.35,2071.6,2079.05,3287223
01-02-2020,TCS,2079.5,2180.7,2063.6,2164.85,3319716
03-02-2020,TCS,2152,2194.7,2093.2,2102.5,4728073
04-02-2020,TCS,2129,2136.7,2086.6,2107.75,3509339
05-02-2020,TCS,2115,2156.7,2104.3,2146.55,2439322
06-02-2020,TCS,2145,2174.2,2115.5,2128.35,2640065
07-02-2020,TCS,2139,2151,2119,2136.55,2083442
10-02-2020,TCS,2140.9,2167,2119,2161.95,2383032
11-02-2020,TCS,2163,2174.8,2147.6,2153.4,1335820
